outer_repeat,outer_fold,model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
1,5,ridge,0.02,,0.5848627942492814,0.012015309784422532,10.0
1,5,ridge,0.1,,0.5859520443297914,0.03264490726252351,10.0
1,5,ridge,0.01,,0.5901519201034932,0.00809384860390261,10.0
1,5,ridge,0.005,,0.5949020139395607,0.006982062997876534,10.0
1,5,ridge,0.2,,0.5969510443214847,0.04488092900130467,10.0
1,5,ridge,0.002,,0.5988946295538206,0.007133074756289892,10.0
1,5,ridge,0.001,,0.6004859821683952,0.007353512683165259,10.0
1,5,ridge,0.5,,0.617700054167782,0.061478562131909796,10.0
1,5,ridge,1.0,,0.6329658447578334,0.07222339042273224,10.0
1,5,ridge,2.0,,0.6446861626095102,0.08018760900198346,10.0
1,5,ridge,5.0,,0.654191090022264,0.08650111340745825,10.0
1,5,ridge,10.0,,0.6579205428076395,0.08899775751528312,10.0
1,5,elastic_net,0.1,0.2,0.5899827991464217,0.026641858380736412,8.2
1,5,elastic_net,0.2,0.2,0.5947456946530338,0.04022104757767684,9.0
1,5,elastic_net,0.05,0.2,0.598623507598308,0.012819510358929309,6.8
1,5,elastic_net,0.2,0.5,0.5994829703379659,0.03477645676445093,8.2
1,5,elastic_net,0.05,1.0,0.6027450723951807,0.007030627346251165,0.0
1,5,elastic_net,0.05,0.8,0.6028528544457006,0.007112046714983301,0.0
1,5,elastic_net,0.01,0.2,0.6040882311491284,0.006377663368212975,0.0
1,5,elastic_net,0.02,0.2,0.6042475799259586,0.007534116162477783,1.2
1,5,elastic_net,0.02,1.0,0.6053854901472537,0.007828612361438853,0.0
1,5,elastic_net,0.02,0.5,0.6054952669631557,0.0058567867976939934,0.0
1,5,elastic_net,0.1,0.5,0.6061215101501647,0.015670838630372753,6.2
1,5,elastic_net,0.05,0.5,0.6066097812108264,0.0076114841622805145,1.2
1,5,elastic_net,0.2,0.8,0.6081087637978291,0.027839861860281166,6.6
1,5,elastic_net,0.02,0.8,0.6081489635258694,0.006902137392446552,0.0
1,5,elastic_net,0.1,1.0,0.6092706660145797,0.007982150513526739,1.2
1,5,elastic_net,0.005,0.2,0.609437019176743,0.006883957119081437,0.0
1,5,elastic_net,0.5,0.8,0.6118182783874152,0.05197109110529765,8.8
