bootstrap,C,apparent_AUC,test_AUC,optimism_AUC,apparent_AUPRC,test_AUPRC,optimism_AUPRC,apparent_Brier,test_Brier,optimism_Brier,apparent_Log loss,test_Log loss,optimism_Log loss
129,0.005,0.7451441102756893,0.7182468694096601,0.026897240866029182,0.6155328979008978,0.5746524779173852,0.04088041998351266,0.1861501583766964,0.19686240899801596,-0.010712250621319558,0.5564885181918249,0.5798375784710251,-0.02334906027920025
130,0.5,0.8756843800322061,0.7268932617769828,0.1487911182552233,0.7402797536145389,0.5836901471188122,0.15658960649572673,0.11705304858431209,0.1774992747237497,-0.06044622613943762,0.36399203894711296,0.5576322257067772,-0.1936401867596642
131,0.05,0.7355957767722473,0.7426952892069171,-0.007099512434669775,0.6071043885780156,0.5952961340776239,0.01180825450039169,0.17158918736909137,0.17597806922031226,-0.004388881851220883,0.5209233946703453,0.5294200301409454,-0.008496635470600089
132,0.05,0.8165912518853696,0.7112403100775194,0.1053509418078502,0.6697850993917072,0.5514060499037368,0.1183790494879704,0.15590489915740535,0.17979666041749257,-0.023891761260087213,0.48241780698642717,0.5397401238802926,-0.05732231689386541
133,0.1,0.7553278688524591,0.7477638640429338,0.007564004809525238,0.6768205142802232,0.6104048525050598,0.06641566177516334,0.17845876990496262,0.1704152790399752,0.00804349086498743,0.5388661848430162,0.5176500269031314,0.02121615793988474
134,0.05,0.8267740011926058,0.7389683959451403,0.0878056052474655,0.7028561118622937,0.5988523893243767,0.10400372253791701,0.15483715584110236,0.17217861366094867,-0.017341457819846307,0.47665410464803815,0.5213899075096372,-0.04473580286159906
135,0.05,0.8205128205128205,0.7286821705426356,0.09183064997018486,0.7078325504260443,0.5716854253087842,0.13614712511726013,0.1533459172734107,0.17347643471562296,-0.020130517442212253,0.4729740028603284,0.5252484320245024,-0.05227442916417402
136,0.1,0.7852504638218923,0.7209302325581395,0.06432023126375286,0.6315382573843991,0.5621209161819416,0.06941734120245746,0.15766185717547365,0.17561316100837773,-0.01795130383290408,0.48438423809828735,0.5265511536438332,-0.04216691554554586
137,0.02,0.7860655737704918,0.7177996422182468,0.06826593155224503,0.7158200923922384,0.5657156780574464,0.15010441433479205,0.18377997269929852,0.18169854266263077,0.0020814300366677474,0.5505305060978216,0.5464318169809148,0.004098689116906806
138,0.02,0.7662907268170426,0.7277877161598092,0.03850301065723338,0.5896533318671502,0.5626609128445645,0.026992419022585645,0.17013738655942734,0.18349719618574237,-0.013359809626315028,0.5157664457043016,0.5473156713174953,-0.03154922561319362
139,0.05,0.8127608825283245,0.7315146094215862,0.08124627310673826,0.7225728113090711,0.5523528176894715,0.1702199936195996,0.15105805625632038,0.17544659465753465,-0.02438853840121427,0.47348056691901225,0.5268471882549759,-0.05336662133596365
140,0.2,0.8248366013071896,0.7336016696481812,0.09123493165900842,0.6587786589879607,0.576971157602346,0.08180750138561477,0.1378019592430981,0.17392886463396745,-0.03612690539086935,0.42616844775214247,0.5298100264019266,-0.10364157864978418
141,0.1,0.8032134433962264,0.6975253428741801,0.10568810052204625,0.7060040976811709,0.4572827230196358,0.2487213746615351,0.15369013642875795,0.18914366105528843,-0.03545352462653048,0.47993434169155613,0.5647868236823076,-0.08485248199075146
142,0.05,0.8051282051282052,0.7169051878354203,0.08822301729278481,0.6325379080282633,0.5339411701212997,0.09859673790696355,0.1591573838378418,0.17775527635298055,-0.018597892515138742,0.4884588569780597,0.5327257840066086,-0.04426692702854895
143,0.05,0.7838589981447124,0.7262969588550985,0.0575620392896139,0.6436874340282455,0.5767482616436599,0.06693917238458558,0.1609585416141958,0.1765166177624452,-0.015558076148249417,0.4926372928527306,0.5314597619461421,-0.03882246909341147
144,0.05,0.7766339869281046,0.6733750745378652,0.10325891239023943,0.6479302858052762,0.5476809063527114,0.10024937945256485,0.15153074798339958,0.18625084553288837,-0.03472009754948879,0.4703101701428959,0.5633327302918041,-0.0930225601489082
145,0.001,0.7186408383613846,0.7483601669648181,-0.029719328603433515,0.5704023373010497,0.579807142654883,-0.009404805353833257,0.1908427740528383,0.2040730104971485,-0.013230236444310178,0.5691081765169919,0.5979128131711476,-0.02880463665415578
